Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,Rolling_Volatility,SMA_20,SMA_50,RSI,MACD,MACD_Signal,BB_High,BB_Low,Momentum_10,Risk_Label
2020-03-13,185.3617248535156,187.42408310246688,171.66728492205291,180.2829358749757,134882000.0,QQQ,0.0847053695026023,0.0422563345845092,205.3863899230957,211.10037963867188,39.660818549100874,-8.484774911701265,-5.444056207976757,235.9613521789501,174.81142766724128,-12.971710205078152,2
2020-03-16,163.1576690673828,177.97966086952732,163.02274896298735,167.83169852373086,92054400.0,QQQ,-0.119787705922999,0.0486709784456773,202.2379180908203,210.19718170166016,31.66649806979163,-10.374303970211088,-6.430105760423624,236.3816485864725,168.09418759516814,-45.41041564941406,2
2020-03-17,175.53179931640625,177.70016732884383,163.62023044654163,169.10379457304705,121257100.0,QQQ,0.0758415483608865,0.052407501898826,199.70381774902344,209.57962951660156,39.04088000221151,-10.749368438121934,-7.293958295963286,233.87664889192743,165.53098660611946,-26.348114013671875,2
2020-03-18,170.1928253173828,172.71776504502083,160.74837373270967,165.38386096925564,114156300.0,QQQ,-0.0304159931124481,0.0525137721543086,196.79435119628903,208.82869934082032,37.1766887712909,-11.346623500502687,-8.104491336871167,230.6116946676493,162.97700772492885,-40.11000061035159,2
2020-03-19,171.21435546875,176.83284013220916,165.4031299076033,169.31582748089275,120896500.0,QQQ,0.0060021928037341,0.0524454649706226,194.04197006225587,208.09877807617187,37.7887820820575,-11.603762542993906,-8.804345578095715,226.76060909976007,161.32333102475167,-32.69895935058591,2
2020-03-20,164.5069122314453,176.23537653389388,163.92868936678394,175.14638352144507,118983900.0,QQQ,-0.0391757059093618,0.0527641867863062,191.1715362548828,207.20348388671871,35.35313037685685,-12.208054842588323,-9.485087430994238,223.67735093622645,158.6657215735392,-35.9659423828125,2
2020-03-23,164.6256866455078,168.24733571628911,159.2849479248567,165.0699340124014,124639800.0,QQQ,0.0007220025739429,0.0528397792951293,188.73492889404295,206.2751007080078,35.4324931584524,-12.532905211318706,-10.094650987059133,221.52776092127036,155.9420968668156,-21.92144775390628,2
2020-03-24,177.3738250732422,177.53800467075953,171.85925624041215,173.75217729603546,94881800.0,QQQ,0.0774371162088771,0.0559790722263842,187.2258102416992,205.61247344970704,43.45600386712863,-11.62764696225608,-10.401250182098522,219.1824523820723,155.2691681013261,-19.330886840820312,2
2020-03-25,176.06039428710938,183.02360831419497,173.8197941915901,178.10782802254823,88754900.0,QQQ,-0.0074048737776865,0.0557928517351127,185.5975341796875,204.8750067138672,42.86498922207612,-10.890665354479635,-10.499133216574746,216.32150278063253,154.87356557874247,-12.076873779296877,2
2020-03-26,185.3318328857422,186.12377381961824,177.32558119634265,177.57667687130197,79887600.0,QQQ,0.052660557964635,0.0572255707691109,184.95516357421872,204.3397366333008,48.218600764261105,-9.449546025937876,-10.289215778447373,215.1324052745411,154.7779218738964,14.44512939453125,2
2020-03-27,178.95773315429688,183.98940204365792,178.33963904687462,180.53193306458388,58845000.0,QQQ,-0.034392902893131,0.0566947959909842,183.98637847900392,203.6752505493164,45.09046450433959,-8.721251988979844,-9.975623020553869,213.62267283479787,154.35008412320997,-6.403991699218722,2
2020-03-30,185.46707153320312,185.90168124529535,179.96216745750084,180.65752531301365,49356900.0,QQQ,0.036373607690336,0.0573511035382469,182.83132781982425,203.1002813720703,48.74718259294677,-7.53200030029393,-9.48689847650188,210.26415139148924,155.3985042481592,22.309402465820312,2
2020-03-31,183.8831787109375,188.56718379324212,182.72425402417431,185.15800618194584,62659300.0,QQQ,-0.0085400217363224,0.0560481000732147,181.9314910888672,202.47243225097657,47.911091870553925,-6.640766065062138,-8.917671994213931,207.95018707109728,155.91279510663708,8.35137939453125,2
2020-04-01,176.07005310058594,181.2369439532486,174.66968535832518,178.44586089247176,53715400.0,QQQ,-0.0424896157719446,0.0563500421345302,180.21985244750977,201.69024841308592,43.91023221562008,-6.490096658056018,-8.43215692698235,202.82822426441945,157.6114806306001,5.877227783203125,2
2020-04-02,179.64340209960938,183.59342424655048,174.77591343116143,175.0366762262731,56465300.0,QQQ,0.020295041298034,0.0556520689773128,179.00635681152343,200.9681610107422,46.12603694243186,-6.013036129476035,-7.948332767481087,198.8315583677521,159.18115525529475,8.429046630859375,2
2020-04-03,177.09375,180.66712107616863,175.0849408486831,179.19914232395183,47487600.0,QQQ,-0.0141928513366477,0.0554088022666605,177.83740158081054,200.18120239257811,44.767107066830675,-5.774137180506443,-7.513493650086159,195.04618709285597,160.6286160687651,12.586837768554688,2
2020-04-06,189.7550506591797,190.88500315636537,182.714572873169,183.96041339985337,64763500.0,QQQ,0.0714949040221899,0.0577837391164781,177.99779739379883,199.68389862060548,52.28487701735053,-4.511145219977408,-6.913023964064409,195.58397305222516,160.4116217353725,25.129364013671875,2
2020-04-07,189.67779541015625,195.72354331489208,189.29149213713953,195.44346091590847,69904500.0,QQQ,-0.0004071314505467,0.0556174161569859,177.6464515686035,199.2737109375,52.238155876788035,-3.476375353730276,-6.225694241997583,193.95824298745848,161.33466014974854,12.303970336914062,2
2020-04-08,193.70506286621097,194.2845177201415,189.4556535881009,191.36787965816228,45940400.0,QQQ,0.0212321502753984,0.054521086984163,177.92484130859376,198.8795004272461,54.51969476413545,-2.304777908139357,-5.441510975225938,195.10997701088945,160.73970560629806,17.64466857910159,2
2020-04-09,193.9851531982422,196.26437792469775,192.21778695074897,195.42416018310405,68252600.0,QQQ,0.00144596288753,0.0535707766451845,179.07976379394532,198.4839520263672,54.681835235687295,-1.3382510179201574,-4.620858983764783,197.2916596900045,160.86786789788613,8.6533203125,2
2020-04-13,196.08090209960935,196.45755300144825,191.9473946047783,193.1546109230474,42853900.0,QQQ,0.0108036561912829,0.0490014524032432,179.61572265625,198.1150924682617,55.94734630488364,-0.3985676329621981,-3.776400713604266,199.12057534237505,160.11086997012498,17.12316894531247,2
2020-04-14,204.6086578369141,205.2267519356357,199.35485062951767,200.1371243614047,63959600.0,QQQ,0.0434910062427835,0.0465269386360641,181.68827209472656,197.9848260498047,60.7503173870849,1.0224704355273104,-2.816626483777951,202.5212577139289,160.85528647552422,19.14158630371097,2
