Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,Rolling_Volatility,SMA_20,SMA_50,RSI,MACD,MACD_Signal,BB_High,BB_Low,Momentum_10
2020-03-13,150.87364196777344,153.799355549348,133.68032956461008,140.1112002373312,92727400.0,MSFT,0.14216869223474937,0.05415070935323603,159.10580291748047,160.03128784179688,46.39858744914072,-5.282332796500327,-3.1680960817545833,182.73633087933766,135.4752749556233,-3.020751953125
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900.0,MSFT,-0.14739005355668255,0.062358548968384615,156.75834197998046,159.5608465576172,36.89603909465597,-6.725967954318065,-3.87967045626728,182.59862452380818,130.91805943615273,-35.49798583984375
2020-03-17,139.2278289794922,140.1112352341527,128.23740173973297,132.98693513750086,81059800.0,MSFT,0.08233644468479406,0.06558934453101237,154.8514045715332,159.34012756347656,42.8949055607845,-6.935469046901176,-4.490830174394059,179.94519796125965,129.75761118180677,-17.041290283203125
2020-03-18,133.3668670654297,138.68634927369683,128.25637994155176,131.08709725869974,81593200.0,MSFT,-0.04209619554525845,0.06581998023588173,152.62482299804688,158.99442138671876,40.59513621116128,-7.488112516606293,-5.090286642836507,177.03693407040896,128.2127119256848,-28.63970947265625
2020-03-19,135.5611572265625,142.62844911064573,132.03699788391367,135.61814929503072,85922700.0,MSFT,0.016453038220177296,0.06603246857872863,150.64379119873047,158.72007354736328,41.85209907608435,-7.660717586665442,-5.604372831602294,173.8110865934728,127.47649580398814,-22.379806518554688
2020-03-20,130.46966552734375,139.7312540410922,129.05429960314785,138.6863510776693,84866200.0,MSFT,-0.03755863260085168,0.06628691447242364,148.6850830078125,158.2963409423828,39.75036745580462,-8.114806736231628,-6.106459612528162,171.71932283035216,125.65084318527285,-23.006790161132812
2020-03-23,129.16830444335938,133.52838705805826,125.88163549437336,130.14670715023314,78975200.0,MSFT,-0.009974434124012,0.06613217628468518,147.02702102661132,157.8086880493164,39.20839583506004,-8.481910438617206,-6.581549777745971,170.66017975865148,123.39386229457115,-13.906631469726562
2020-03-24,140.9091339111328,142.10602543854912,134.19330215103852,136.5490663326342,82516700.0,MSFT,0.0908955917503882,0.06925105851761815,146.08993759155274,157.57006103515624,46.31950807653072,-7.736276966548559,-6.812495215506488,169.1252892590149,123.05458592409057,-11.949859619140625
2020-03-25,139.56027221679688,146.59908341404636,137.20450796995928,141.45059151845882,75638200.0,MSFT,-0.009572563941714574,0.0692071439024178,144.9856704711914,157.26770141601563,45.65870681775804,-7.171530000042395,-6.88430217241367,167.02838562483703,122.9429553175458,-6.3738861083984375
2020-03-26,148.2899169921875,148.81236851080732,140.93763483465182,140.96613087253797,64568100.0,MSFT,0.06255107300041485,0.07065407927769711,144.88735580444336,157.16172210693358,50.57324646264647,-5.950955670981699,-6.697632872127276,166.85256737159253,122.92214423729419,16.195907592773438
2020-03-27,142.20098876953125,147.13100542904672,141.72603555754588,144.14829983755556,57042300.0,MSFT,-0.0410609726282134,0.06950579366542589,144.302685546875,156.91407165527343,47.35619061982995,-5.412574551490991,-6.440621208000019,165.89715540358327,122.70821569016675,-8.672653198242188
2020-03-30,152.20350646972656,152.55498171253677,142.49546138832392,144.8037415996008,63420300.0,MSFT,0.0703407042858657,0.07103178110956218,143.70614318847657,156.80982177734376,52.68124704879984,-4.131162580917277,-5.978729482583471,163.67419916919062,123.73808720776253,23.567138671875
2020-03-31,149.80978393554688,156.52561640437477,148.71738259294858,151.41511399644187,77927200.0,MSFT,-0.015727118183415878,0.06954052300002073,143.38317642211913,156.6400762939453,51.34278671098726,-3.271080782414657,-5.4371997425497085,162.72719984088664,124.03915300335164,10.581954956054688
2020-04-01,144.49034118652344,149.8478155986735,143.26496764570598,145.3357577597277,57969900.0,MSFT,-0.03550797958104013,0.06918287337888977,142.50736465454102,156.3753109741211,48.39991664474788,-2.9842932589240263,-4.946618445824572,159.88556978062186,125.12915952846019,11.12347412109375
2020-04-02,147.48248291015625,147.69146350670735,142.8279467020778,144.25280649978632,49630700.0,MSFT,0.02070824734070098,0.06882870098673197,141.98444061279298,156.18554504394533,50.13140466232437,-2.486903771011356,-4.454675510861929,158.05364654663222,125.91523467895374,11.92132568359375
2020-04-03,146.12411499023438,149.49628588002253,144.56626894886142,147.33050027358752,41243300.0,MSFT,-0.009210367856021029,0.06865162906497016,141.61682357788087,155.9492855834961,49.32224932867909,-2.1772302026289765,-3.9991864492153386,156.93651381290212,126.29713334285961,15.654449462890625
2020-04-06,156.9910888671875,158.1594700832369,149.68630381570637,152.28905346630089,67111700.0,MSFT,0.07436810739746402,0.07028102539971152,142.31263122558593,155.96219635009766,55.509093433102734,-1.0429156138245332,-3.407932282137178,159.03401585986086,125.59124659131099,27.822784423828125
2020-04-07,155.30023193359375,161.4841185494659,155.08174298427676,161.094653373126,62769000.0,MSFT,-0.010770400701049954,0.06847066947767626,142.43469314575196,155.99358123779297,54.39632618486181,-0.2772056986225664,-2.7817869654342555,159.49445605429585,125.37493023720808,14.391098022460938
2020-04-08,156.8581085205078,158.3209585589881,155.30975585753413,157.37105179533347,48318200.0,MSFT,0.010031386093358963,0.06698684319373029,142.98089065551758,155.99587493896485,55.285726442018984,0.4501435717723723,-2.1354008579929302,161.11924544648895,124.8425358645462,17.297836303710938
2020-04-09,156.8675537109375,158.98584107836996,155.14822532115448,158.02644076267168,51385100.0,MSFT,6.021486883134308e-05,0.06606376293592589,144.21956787109374,155.94947540283204,55.2914195661342,1.015627732466271,-1.50519513990109,162.59688201140426,125.84225373078324,8.57763671875
2020-04-13,157.21905517578125,157.2760617539971,154.16986273762387,156.11717440218635,41905300.0,MSFT,0.0022407531482990795,0.06195803081658287,144.53683853149414,155.82030090332032,55.51839872876237,1.4751367759892844,-0.9091287567230153,163.57009957483555,125.50357748815271,15.01806640625
2020-04-14,164.99879455566406,165.04629279060418,159.58432914429642,160.5342358653934,52874300.0,MSFT,0.04948343806788902,0.05499375336198697,146.35495986938477,155.8950338745117,60.32003226965825,2.4389462987858224,-0.2395137456212478,165.9053076950254,126.80461204374413,12.7952880859375
2020-04-15,163.26992797851562,164.8752722248114,160.76217548860208,162.6239840446775,40940800.0,MSFT,-0.010478055805220987,0.042665600984749696,147.55706481933595,155.85656311035157,58.80097468523608,3.028358177457477,0.41406063899449724,168.13617814190147,126.97795149677043,13.46014404296875
2020-04-16,168.17147827148438,168.39946110084114,164.23886505524362,165.56874315151887,50479600.0,MSFT,0.03002114567977099,0.03980059842158809,149.29729537963868,155.8073699951172,61.74258388360005,3.8466437675657232,1.1005772647087424,170.65390469542606,127.94068606385129,23.681137084960938
2020-04-17,169.6533203125,170.98318372145278,167.06006492340595,170.50823043333762,52765600.0,MSFT,0.008811494411813614,0.03799278168170345,151.00190353393555,155.79198211669922,62.61171776007605,4.562123936676699,1.7928865991023337,173.12924538897477,128.87456167889633,22.17083740234375
2020-04-20,166.29067993164062,169.7958382972774,166.2241939936054,167.78204054561874,36669600.0,MSFT,-0.01982065764858254,0.03860911667413783,152.7929542541504,155.63867126464845,59.31847162160012,4.802450489653182,2.394799377212504,173.75059209996164,131.83531640833917,20.16656494140625
2020-04-21,159.41331481933594,164.9702591139394,157.78896833665317,164.80877674925068,56203700.0,MSFT,-0.04135748987935983,0.038853516983317536,154.30520477294922,155.34288726806642,53.15991179519447,4.387390025167122,2.7933175068034273,172.394317427136,136.21609211876245,2.4222259521484375
2020-04-22,164.82777404785156,165.28372509311845,162.26302948839455,162.8044686369448,34620200.0,MSFT,0.03396491211949182,0.038890921535835954,155.50113677978516,155.06426025390624,56.949444517578875,4.444124129338348,3.1234788313104116,173.04391116350288,137.95836239606743,9.527542114257812
2020-04-23,162.83302307128906,166.29068326802962,162.34857581784783,165.38827470051632,32790800.0,MSFT,-0.01210203188197756,0.03477031519665105,156.66477432250977,154.82644989013673,55.17829780229683,4.278803202802692,3.354543705608868,172.8592734648072,140.47027518021235,5.97491455078125
2020-04-24,165.8061981201172,165.8156919680208,162.15856029457086,163.44092549392695,34277600.0,MSFT,0.018259042255368785,0.0346181238329174,157.54058837890625,154.64298767089844,57.309444419358236,4.337693327471271,3.551173629981349,173.72326677814493,141.35790997966757,8.938644409179688
2020-04-27,165.3312225341797,168.03844725298504,164.61879268800635,167.74397856900762,33194400.0,MSFT,-0.0028646431274746975,0.03241252669721383,158.69710006713868,154.4689712524414,56.84444914786131,4.29651012111151,3.700240928207381,173.58357499931077,143.81062513496659,8.112167358398438
2020-04-28,161.3036651611328,166.87011937399518,160.9047060598675,166.79412509359793,34392700.0,MSFT,-0.024360537055934772,0.031397211172682696,159.152108001709,154.18333282470704,52.92320732303828,3.89399436989018,3.738991616543941,173.77074308779947,144.53347291561852,-3.69512939453125
2020-04-29,168.54193115234375,168.7794078165348,163.2699608028428,164.54283224424475,51286600.0,MSFT,0.04487353702707453,0.02922388712483931,160.08871536254884,154.00683990478515,58.46811920584405,4.111668554187844,3.813527004072722,174.59297371502444,145.58445701007324,5.272003173828125
2020-04-30,170.23277282714844,171.36314953679909,167.40204064561368,170.98319268415975,53875900.0,MSFT,0.010032172191478894,0.028836633823038485,161.37583694458007,153.853525390625,59.663320393422346,4.370236341537236,3.924868871565625,174.62971590394875,148.1219579852114,2.0612945556640625
2020-05-01,165.8251953125,169.69130747870238,165.29323546301947,166.99357632410124,39370500.0,MSFT,-0.025891474605326592,0.028205735602116998,162.29297256469727,153.66639343261718,55.20359158952301,4.171413053060803,3.9741777078646607,174.025621762509,150.56032336688554,-3.828125
2020-05-04,169.8813018798828,170.03329042260975,165.09377873938547,165.7492166472734,30372900.0,MSFT,0.024460134418892165,0.02830891918029491,163.4808319091797,153.67114288330077,58.2931903499723,4.29166640731566,4.037675447754861,173.03285657499282,153.92880724336658,3.5906219482421875
2020-05-05,171.7051239013672,174.4503535890993,170.88820358800612,171.57213754777004,36839200.0,MSFT,0.010735860870515035,0.028066802539584674,164.21653366088867,153.85865447998046,59.64108560426873,4.482464194758364,4.126633197155562,173.92120211224577,154.51186520953158,12.29180908203125
2020-05-06,173.3959503173828,174.97279880598006,172.53154629757884,172.95900138331487,32139300.0,MSFT,0.009847268256169661,0.023628147273223446,165.12131958007814,154.13355743408204,60.90261714675168,4.715748167453938,4.244456191215238,174.70559264822384,155.53704651193243,8.56817626953125
2020-05-07,174.4028778076172,175.30528628351058,173.43396890467872,174.9443170953828,28316000.0,MSFT,0.005807099233813062,0.023349912640008925,165.9985580444336,154.3887026977539,61.67098667702843,4.925104490952577,4.380585851162706,175.6086274601372,156.38848862873,11.569854736328125
2020-05-08,175.4287567138672,175.7327338053412,174.1748874476006,175.7137316135177,30877800.0,MSFT,0.0058822361141404045,0.023329843987501323,166.92661819458007,154.89215362548828,62.480022227433885,5.114840047571732,4.527436690444511,176.41444897757862,157.43878741158153,9.62255859375
2020-05-11,177.38560485839844,178.11702267411394,173.6904679068423,173.9754283574183,30892700.0,MSFT,0.011154660052245413,0.02332373415398017,167.93494567871093,155.36197784423828,64.03926670024327,5.361306332263638,4.694210618808337,177.36801305681203,158.50187830060983,12.05438232421875
2020-05-12,173.36746215820312,177.67053823942587,173.16798987319115,177.4425699136979,32038200.0,MSFT,-0.022652022431035923,0.024149150192198036,168.3533790588379,155.54664001464843,58.649512471372724,5.172773589687409,4.789923212984152,177.96902592017253,158.73773219750328,12.063796997070312
2020-05-13,170.7457275390625,174.83032920522427,167.69652068640866,173.4054691701278,44711500.0,MSFT,-0.015122414474454282,0.022230227645362043,168.72716903686523,155.8361721801758,55.374731194483964,4.756972541530274,4.783333078693377,178.1015042156478,159.35283385808268,2.20379638671875
2020-05-14,171.4866180419922,171.63860655955162,166.87956575262888,168.64639240959448,41873900.0,MSFT,0.004339145193312133,0.022053260906622595,168.89292602539064,156.0257730102539,56.12037393277927,4.4360943525636,4.713885333467422,178.33905813563626,159.446793915145,1.25384521484375
2020-05-15,173.98487854003906,177.6895081033715,168.13345100384268,170.09025608059895,46610400.0,MSFT,0.014568253351612048,0.02133778079781712,169.10950393676757,156.34665130615235,58.63051668687504,4.333431716008704,4.637794609975678,178.81062470012995,159.40838317340518,8.159683227539062
2020-05-18,175.64723205566406,176.87260518633394,174.74482368880803,176.44515011723627,35264500.0,MSFT,0.009554586177685787,0.021350538562965243,169.57733154296875,156.7900668334961,60.25958122793219,4.3362235864385354,4.57748040526825,179.5871026405409,159.5675604453966,5.76593017578125
2020-05-19,174.4313201904297,177.252543411684,174.29833387167525,175.76118337797442,26799100.0,MSFT,-0.006922465278866641,0.02087554125972511,170.32823181152344,157.41719451904297,58.44665048007454,4.191999477594919,4.500384219733584,179.3831148333414,161.27334878970547,2.7261962890625
2020-05-20,176.85079956054688,177.03178675767256,175.21240903417342,176.04112458439172,31261300.0,MSFT,0.013870670516486383,0.018409072836199313,170.92938308715821,157.89703063964845,60.96335430319828,4.224238208423685,4.445155017471604,180.03998932385568,161.81877685046075,3.4548492431640625
2020-05-21,174.72665405273438,177.81292860726518,174.5932973177432,176.6031831674777,29119500.0,MSFT,-0.012010946589389171,0.017518970926244593,171.52406463623046,158.4728805541992,57.66149190795963,4.031909501658646,4.362505914309013,179.97168002027888,163.07644925218204,0.3237762451171875
2020-05-22,174.80282592773438,175.7077620261806,173.87884925285118,174.49801682204026,20826900.0,MSFT,0.0004359487990710509,0.017191778870206766,171.97389602661133,159.32705688476562,57.74986362568608,3.8413533197013123,4.258275395387473,180.108025862054,163.83976619116865,-0.6259307861328125
2020-05-26,172.9549560546875,177.6510326763463,172.50725523851028,177.49862079535043,36073600.0,MSFT,-0.010571167046297125,0.017107156062214926,172.3550827026367,159.7686831665039,54.763580348245064,3.5008726366176006,4.106794843633499,179.9016268509372,164.80853855433622,-4.4306488037109375
2020-05-27,173.18345642089844,173.35492331881767,168.22066922420984,171.6498472999227,39517100.0,MSFT,0.0013211553541065957,0.017070142706439025,172.949072265625,160.65962493896484,55.07295738093102,3.2124462316586744,3.927925121238534,178.53919827910462,167.3589462521454,-0.1840057373046875
2020-05-28,172.79296875,175.41248738313547,171.82137594021566,172.16429532449058,33810200.0,MSFT,-0.0022547631221160325,0.015987922224883554,173.1616241455078,161.330927734375,54.38839785174517,2.9187120405603935,3.726082505102906,178.3759400875138,167.9473082035018,2.0472412109375
2020-05-29,174.55516052246094,175.5267676685074,171.8499162297259,174.0598293942111,42130400.0,MSFT,0.010198284022832516,0.013002633330741096,173.37774353027345,162.15469360351562,56.98679286304074,2.7958904420266038,3.540044092487646,178.44479544503997,168.31069161550693,3.06854248046875
2020-06-01,174.15513610839844,174.31706825276393,172.8501441283507,173.87888780610865,22622400.0,MSFT,-0.002291679105133282,0.01288781562049329,173.79424057006835,162.92657318115235,56.20405648250146,2.6358899150788773,3.3592132570058926,177.49475497999214,170.09372616014457,0.170257568359375
2020-06-02,176.13641357421875,176.22213977548927,172.74533039924086,175.50772569531836,30794600.0,MSFT,0.011376508956859599,0.011463034590759518,174.10699615478515,163.83990814208985,59.19365254210802,2.638545369415141,3.2150796794877423,177.47411357367795,170.73987873589235,0.4891815185546875
2020-06-03,176.5650634765625,177.11754545638277,174.86952184719328,176.0506917214427,27311000.0,MSFT,0.002433624562039327,0.010348989435396158,174.34999313354493,164.7878433227539,59.83249763865665,2.644751254687037,3.1010139945276016,177.69003961723283,171.00994664985703,2.1337432861328125
2020-06-04,174.2408447265625,177.0222953752069,173.65026702031676,175.5553713989603,28761800.0,MSFT,-0.013163525695492506,0.01063770264906054,174.3922378540039,165.4544775390625,54.82093423136499,2.4340660365418216,2.9676244029304457,177.70420331027069,171.0802723977371,-2.609954833984375
2020-06-05,178.31776428222656,178.82261577227575,173.3740161676006,173.9550735758374,39893600.0,MSFT,0.023398185207733624,0.01158573493390518,174.58798217773438,166.22962738037108,60.99285186880836,2.566484977916417,2.88739651792764,178.31595491481627,170.86000944065248,3.5911102294921875
2020-06-08,179.4227294921875,179.60371673224284,175.68872668481072,177.11755495708823,33211600.0,MSFT,0.006196607580903013,0.011593456298780386,174.78768081665038,166.8522836303711,62.48856299054465,2.7291296925752704,2.8557431528571664,179.06223792794117,170.5131237053596,4.619903564453125
2020-06-09,180.79437255859375,181.65166354492257,178.37488233842032,179.07977605114604,29783900.0,MSFT,0.007644756437985123,0.011633713881946442,174.95811920166017,167.62415130615236,64.31764919219124,2.9348755148552357,2.8715696252567806,179.85933015371631,170.05690824960402,7.83941650390625
2020-06-10,187.50033569335935,189.1006306413369,181.94695568547104,182.06127181126325,43872300.0,MSFT,0.037091658550336026,0.01387151146261639,175.66476287841797,168.330087890625,71.60696841607411,3.597575135484874,3.0167707273023994,182.94349137946114,168.3860343773748,14.316879272460909
2020-06-11,177.4319305419922,186.47164305333587,177.241422978696,183.9664402531399,52854700.0,MSFT,-0.05369806466817839,0.01780826284979061,175.99907302856445,168.8825308227539,53.82740294393008,3.2726086138123094,3.0679383046043815,182.9501902094358,169.04795584769312,4.6389617919921875
2020-06-12,178.83216857910156,182.62332254770675,176.39362255626395,181.4993033099027,43373600.0,MSFT,0.007891691381771704,0.01745451636500915,176.36635055541993,169.56936737060548,55.48286390420722,3.0924104289800027,3.072832729479506,183.09771705961495,169.6349840512249,4.277008056640625
2020-06-15,179.97520446777344,181.7660071501727,175.27911483833037,175.8220765372761,32770200.0,MSFT,0.006391668220286029,0.017471933455724786,176.66586685180664,170.2192218017578,56.84314027956335,3.007170720541268,3.059700327691859,183.47930493303457,169.8524287705787,5.820068359375
2020-06-16,184.3855438232422,186.3001685905178,182.37565801817837,183.73780074282865,42556700.0,MSFT,0.024505260980317356,0.01794469162006299,177.10278244018554,170.98445037841796,61.7053617249788,3.257939664274346,3.0993481950083566,184.67711519629896,169.52844968407211,8.249130249023438
