Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,Rolling_Volatility,SMA_20,SMA_50,RSI,MACD,MACD_Signal,BB_High,BB_Low,Momentum_10,Risk_Label
2020-03-13,168.95411682128906,169.46014026563884,156.37285666627955,162.25667556735854,35028600.0,META,0.1023498181396784,0.043039117379786,190.21578521728512,203.90267639160157,37.92799684062174,-11.426727277404382,-8.64708737002734,224.7317600798272,155.6998103547431,-22.01722717285159,2
2020-03-16,144.8731231689453,157.89097777264303,141.98579268312238,151.1340046050276,39120400.0,META,-0.1425297832654494,0.0516090710887484,186.8338249206543,202.63720733642575,29.621063906408295,-13.19994006178797,-9.557657908379468,225.00928988716095,148.65835995414767,-50.037322998046875,2
2020-03-17,148.25657653808594,152.74138692213435,138.90992484060837,149.56630595377365,34255600.0,META,0.02335459673355,0.0521472908063856,183.4414474487305,201.46143493652343,31.87860068366145,-14.16887755786317,-10.479901838276207,222.65399568949496,144.22889920796595,-36.186004638671875,2
2020-03-18,145.81573486328125,147.0262216721567,136.03250698448755,138.66186728488157,37553100.0,META,-0.016463631710649,0.0516108186006696,179.94240646362306,200.1588571166992,31.103487155086,-14.961258948415209,-11.376173260304007,219.46985321241257,140.41495971483357,-44.451171875,2
2020-03-19,151.9376983642578,158.6847398402859,143.6725559021448,145.47837707791123,39862300.0,META,0.0419842447505174,0.0531237954668826,176.89383087158205,198.96959045410156,35.34943083758493,-14.923210140953104,-12.085580636433829,215.16568083049364,138.6219809126704,-31.79048156738284,2
2020-03-20,148.5641326904297,158.0298585688612,146.84760746399692,154.80516448603694,32568400.0,META,-0.0222036118102848,0.0531436422811407,173.894864654541,197.6699884033203,34.102212018830684,-14.992451098933998,-12.66695472893386,211.16326814048767,136.62646116859435,-31.11582946777344,2
2020-03-23,146.9468536376953,151.1240647968421,141.14239749154174,148.4947045726751,29830800.0,META,-0.010886066666605,0.0531408089972677,171.2843505859375,196.27692108154295,33.492136555231895,-15.00485928276754,-13.134535639700598,208.4229741796375,134.14572699223748,-21.233367919921875,2
2020-03-24,159.7265625,160.05399484868934,151.3820565118102,154.001500161345,30440400.0,META,0.0869682374677698,0.0570907185835202,169.5087860107422,195.14421020507817,42.27938034131316,-13.824121292108345,-13.272452770182149,205.2667120143674,133.750860007117,-17.07598876953125,2
2020-03-25,154.99368286132812,161.7208894129763,151.8682011441611,157.68257306101083,35184300.0,META,-0.0296311368916605,0.0572260827600968,167.47524490356446,193.8404412841797,40.16299403462996,-13.119053478100083,-13.241772911765738,201.64250161243623,133.30798819469263,-13.920791625976562,2
2020-03-26,162.0681610107422,162.72302560102386,155.7973791164667,157.01779756928065,26556800.0,META,0.0456436547529717,0.0584367917105968,166.1650276184082,192.73471801757813,44.62503379963597,-11.852799201894186,-12.963978169791428,199.02650727402028,133.30354796279613,8.800918579101562,2
2020-03-27,155.5691680908203,158.84347609160096,153.54505895105285,156.96819294005962,24879900.0,META,-0.0401003681376449,0.0584995459797514,164.3949188232422,191.4575408935547,41.559078436091255,-11.244083187630991,-12.61999917335934,195.48716039519064,133.30267725129374,-13.38494873046875,2
2020-03-30,164.6578369140625,165.45161078841923,156.82927254742395,157.94054688753693,22515200.0,META,0.0584220442571004,0.0600874806802671,162.8822883605957,190.3498330688477,47.0390915068755,-9.914009216908257,-12.078801182069125,190.65547013138604,135.10910658980538,19.784713745117188,2
