Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,Rolling_Volatility,SMA_20,SMA_50,RSI,MACD,MACD_Signal,BB_High,BB_Low,Momentum_10
2020-03-13,168.95411682128906,169.46014026563884,156.37285666627955,162.25667556735854,35028600.0,META,0.10234981813967847,0.04303911737978601,190.21578521728514,203.90267639160157,37.92799684062174,-11.426727277404382,-8.64708737002734,224.73176007982718,155.6998103547431,-22.01722717285159
2020-03-16,144.8731231689453,157.89097777264303,141.98579268312238,151.1340046050276,39120400.0,META,-0.1425297832654494,0.05160907108874841,186.8338249206543,202.63720733642577,29.621063906408295,-13.19994006178797,-9.557657908379467,225.00928988716095,148.65835995414767,-50.037322998046875
2020-03-17,148.25657653808594,152.74138692213435,138.90992484060837,149.56630595377365,34255600.0,META,0.023354596733550004,0.05214729080638562,183.44144744873046,201.46143493652343,31.878600683661446,-14.16887755786317,-10.479901838276207,222.65399568949496,144.22889920796595,-36.186004638671875
2020-03-18,145.81573486328125,147.0262216721567,136.03250698448755,138.66186728488157,37553100.0,META,-0.016463631710649018,0.05161081860066966,179.94240646362306,200.1588571166992,31.103487155086,-14.961258948415207,-11.376173260304007,219.46985321241254,140.41495971483357,-44.451171875
2020-03-19,151.9376983642578,158.6847398402859,143.6725559021448,145.47837707791123,39862300.0,META,0.04198424475051743,0.05312379546688262,176.89383087158203,198.96959045410156,35.34943083758493,-14.923210140953103,-12.085580636433827,215.16568083049364,138.6219809126704,-31.79048156738284
2020-03-20,148.5641326904297,158.0298585688612,146.84760746399692,154.80516448603694,32568400.0,META,-0.02220361181028485,0.053143642281140706,173.894864654541,197.6699884033203,34.102212018830684,-14.992451098933998,-12.666954728933861,211.16326814048767,136.62646116859435,-31.115829467773438
2020-03-23,146.9468536376953,151.1240647968421,141.14239749154174,148.4947045726751,29830800.0,META,-0.010886066666605076,0.05314080899726778,171.2843505859375,196.27692108154298,33.492136555231895,-15.00485928276754,-13.134535639700598,208.4229741796375,134.14572699223748,-21.233367919921875
2020-03-24,159.7265625,160.05399484868934,151.3820565118102,154.001500161345,30440400.0,META,0.08696823746776983,0.057090718583520245,169.5087860107422,195.14421020507814,42.27938034131316,-13.824121292108345,-13.272452770182149,205.26671201436739,133.750860007117,-17.07598876953125
2020-03-25,154.99368286132812,161.7208894129763,151.8682011441611,157.68257306101083,35184300.0,META,-0.029631136891660526,0.05722608276009684,167.47524490356446,193.8404412841797,40.16299403462996,-13.119053478100085,-13.241772911765738,201.64250161243626,133.30798819469265,-13.920791625976562
2020-03-26,162.0681610107422,162.72302560102386,155.7973791164667,157.01779756928065,26556800.0,META,0.04564365475297172,0.05843679171059689,166.1650276184082,192.73471801757813,44.62503379963597,-11.852799201894186,-12.963978169791428,199.02650727402028,133.30354796279613,8.800918579101562
2020-03-27,155.5691680908203,158.84347609160096,153.54505895105285,156.96819294005962,24879900.0,META,-0.04010036813764495,0.05849954597975142,164.3949188232422,191.4575408935547,41.559078436091255,-11.244083187630991,-12.619999173359341,195.48716039519064,133.30267725129374,-13.38494873046875
