Date,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2020-01-02,72.40052795410156,72.46079141879511,71.15668916006118,71.4097927692221,135480400,AAPL
2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800,AAPL
2020-01-06,72.26793670654297,72.3065062028637,70.56851011431775,70.81920816221287,118387200,AAPL
2020-01-07,71.92803192138672,72.53307183094348,71.70867212634163,72.27755544471,108872000,AAPL
2020-01-08,73.08509826660156,73.38641550034151,71.63154422529517,71.63154422529517,132079200,AAPL
2020-01-09,74.63750457763672,74.83034471463299,73.81069163960515,74.06138234642438,170108400,AAPL
2020-01-10,74.80622863769531,75.37030104945943,74.30483992947904,74.87131787710281,140644800,AAPL
2020-01-13,76.40442657470703,76.43094632364196,75.0039042885127,75.1220256778742,121532000,AAPL
2020-01-14,75.37271881103516,76.55147571173875,75.24978634537415,76.3417600315841,161954400,AAPL
2020-01-15,75.04969787597656,76.05248268254357,74.61820946436237,75.17263768221467,121923600,AAPL
2020-01-16,75.98979187011719,76.10068190640935,75.23047392822782,75.59205460116348,108829200,AAPL
2020-01-17,76.83108520507812,76.83349074089385,75.93195182564011,76.23808752279956,137816400,AAPL
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200,AAPL
2020-01-22,76.58280944824219,77.13481745633268,76.48879491769239,76.79493065234263,101832400,AAPL
2020-01-23,76.95162200927734,77.03116654175618,76.0886451198764,76.6358420591075,104472000,AAPL
2020-01-24,76.72982788085938,77.93991520434014,76.53939333547534,77.19747280109205,146537600,AAPL
2020-01-27,74.47356414794922,75.15333017904537,73.49247355216795,74.74113029786567,161940000,AAPL
2020-01-28,76.58037567138672,76.75152179476333,75.25457988632637,75.35341281852345,162234000,AAPL
2020-01-29,78.18338012695312,79.02948122719883,77.46986301615,78.2098998673926,216229200,AAPL
2020-01-30,78.07009887695312,78.12313101118072,76.8359045055242,77.26739289963146,126743200,AAPL
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400,AAPL
2020-02-03,74.40367889404297,75.56796570063159,72.85129158100523,73.35268032975995,173788400,AAPL
2020-02-04,76.8600082397461,77.05044280806926,75.60170706629567,76.00667569866678,136616400,AAPL
2020-02-05,77.48675537109375,78.28464294726993,76.88412080562057,77.98573120045752,118826800,AAPL
2020-02-06,78.39309692382812,78.395509815644,77.1998851389864,77.75671877652137,105425600,AAPL
2020-02-07,77.32752990722656,78.14180794117812,76.83702966688513,77.8929335802923,117684000,AAPL
2020-02-10,77.69479370117188,77.69479370117188,75.8342789707218,75.91401226143752,109348800,AAPL
2020-02-11,77.2260513305664,78.26262851927434,77.00858949259958,78.19014369789785,94323200,AAPL
