Date,Close,High,Low,Open,Volume,Ticker
,SPY,SPY,SPY,SPY,SPY,
2020-01-02,296.8881530761719,296.90644827655234,294.74970630853255,295.672721478946,59151200,SPY
2020-01-03,294.6400146484375,295.7640816777263,293.44285049264414,293.49768030977805,77709700,SPY
2020-01-06,295.76416015625,295.8464049037738,292.76664728278183,292.8854545477704,55653900,SPY
2020-01-07,294.9324645996094,295.6726950341624,294.48465056571524,295.19746609117453,40496400,SPY
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000,SPY
2020-01-09,298.514892578125,298.58801761539866,297.4822175666189,298.06710630868724,48473300,SPY
2020-01-10,297.6558837890625,299.25515249526273,297.1898301592266,299.09981058166176,53029300,SPY
2020-01-13,299.7028503417969,299.711970052035,297.8477004784038,298.27721930830376,47086800,SPY
2020-01-14,299.2459411621094,300.3151505804677,298.6884674529028,299.264208473107,62832800,SPY
2020-01-15,299.9222412109375,300.68073912701385,299.07235094750735,299.15459569341715,72056600,SPY
2020-01-16,302.4171447753906,302.4171447753906,301.0737579932598,301.3022249433567,54050300,SPY
2020-01-17,303.3582458496094,303.5684174688716,302.3529862933053,303.12977903631366,95846000,SPY
2020-01-21,302.7643127441406,303.5685206625626,302.32567416247394,302.39877129641013,77742400,SPY
2020-01-22,302.8009033203125,304.27224473675494,302.6455614379162,303.62337862619233,48914900,SPY
2020-01-23,303.1481628417969,303.55941441938006,301.0371309067921,302.1520504997015,51963000,SPY
2020-01-24,300.4522705078125,303.8884219479204,299.16371371777205,303.80617720247466,87578400,SPY
2020-01-27,295.63616943359375,297.116630487524,294.86852399411237,295.2066505448216,84062500,SPY
2020-01-28,298.73419189453125,299.61149697791484,295.72755969424713,297.0617985757093,63834000,SPY
2020-01-29,298.4873962402344,300.32427882650586,298.28634427611996,300.0958119531496,53888900,SPY
2020-01-30,299.4561767578125,299.6663763797536,295.6727787860852,296.42212914324796,75491800,SPY
2020-01-31,294.01861572265625,298.99005740584477,293.10474817632047,298.834687651797,113845600,SPY
2020-02-03,296.20269775390625,298.06699506215597,295.3802226702437,295.4990298946987,69083000,SPY
2020-02-04,300.7173156738281,301.5855011806518,299.4927362514343,299.81259553758144,62573200,SPY
2020-02-05,304.19000244140625,304.4002020615823,302.1886577494263,303.65082382168174,65951100,SPY
2020-02-06,305.213623046875,305.4055275043424,304.1352376876407,305.1496455980405,50359700,SPY
2020-02-07,303.58685302734375,305.222656086769,303.03852684411055,304.15344652404104,64139400,SPY
2020-02-10,305.85321044921875,305.91718787642037,302.66382135820703,302.7003838721832,42070000,SPY
2020-02-11,306.3833312988281,307.99171968195316,305.85327235048885,307.2058067510786,54864500,SPY
2020-02-12,308.3573303222656,308.5675020979395,307.4525821037629,307.8181236992721,43992700,SPY
2020-02-13,308.02825927734375,308.9969568539677,306.6574576626084,306.93160682994335,54501900,SPY
2020-02-14,308.521728515625,308.6405357740244,307.24231936560784,308.4394837726626,64582200,SPY
2020-02-18,307.7265930175781,308.5856306420383,306.3374966602275,307.52554106527845,57226200,SPY
2020-02-19,309.1979675292969,309.8742206443196,308.41205476200304,308.6953514933789,48814700,SPY
2020-02-20,307.92767333984375,309.4721116863874,304.9393086876562,308.64960860364215,74163400,SPY
2020-02-21,304.7565612792969,306.8858604042742,303.93405817128195,306.57514878327885,113788200,SPY
2020-02-24,294.6492614746094,304.8297340268577,293.5708763000979,295.3072473908234,161088400,SPY
2020-02-25,285.720703125,296.65055194836293,284.84339802698764,296.0382762665826,218913200,SPY
2020-02-26,284.6697998046875,290.7104521537765,283.93871677139504,287.1189586441504,194773800,SPY
2020-02-27,271.8847961425781,284.7246265399028,271.8847961425781,279.1500278323521,284353500,SPY
2020-02-28,270.7424621582031,272.23207101783856,260.94579899354517,263.83362436216396,384975800,SPY
2020-03-02,282.46734619140625,282.53132361972916,269.0974581232793,272.5244617816566,238703600,SPY
2020-03-03,274.3796081542969,286.8082134931983,271.93959720140725,282.8420313278847,300139100,SPY
2020-03-04,285.91259765625,286.1319448399597,277.20344073550206,279.7531390923097,176613400,SPY
2020-03-05,276.40838623046875,281.9007394258582,274.1694273459628,278.71135042930734,186366800,SPY
2020-03-06,271.8390808105469,273.0453928793516,265.231835125878,267.9003132173233,228667200,SPY
2020-03-09,250.61000061035156,259.71211695297416,249.89718477428536,251.5878180534564,309417300,SPY
2020-03-10,263.57769775390625,263.6690622000133,249.94278128953638,260.12327944250404,276444100,SPY
2020-03-11,250.72877502441406,257.65590908576536,247.54853269089548,256.52272185327337,255316300,SPY
2020-03-12,226.73971557617188,243.69196419793585,226.34674521407393,233.95013117048154,392220700,SPY
2020-03-13,246.12281799316406,248.09677526977262,227.11436995312613,240.42941305337604,329566100,SPY
2020-03-16,219.19114685058594,234.7725780910604,216.91561153342053,220.4065784730682,297240000,SPY
2020-03-17,231.0257568359375,234.10550046036911,216.65062185131984,223.93413457519435,262070500,SPY
2020-03-18,219.3282470703125,226.97731522464503,208.38011597518343,215.90124320983887,327597100,SPY
2020-03-19,219.7943115234375,226.0725919909202,212.21835456333,218.64284326233184,289322000,SPY
2020-03-20,210.3224334716797,224.72694441324552,210.04665824854578,222.94361386702494,347158800,SPY
2020-03-23,204.94488525390625,211.13137648969655,200.6336404665036,209.76171566084122,326025200,SPY
2020-03-24,223.5135498046875,224.3868403910806,214.91865078430803,215.48857598678674,235494500,SPY
2020-03-25,226.8595733642578,235.64753271475618,220.3881202388159,225.09463160277366,299430300,SPY
2020-03-26,240.1059112548828,241.57667533640435,228.9371176727837,229.369162336313,257632800,SPY
2020-03-27,232.95419311523438,239.7473876435918,230.7755951190202,232.8163124926308,224341200,SPY
2020-03-30,240.51953125,241.2365384930664,233.0552948085847,235.05004716701424,171369500,SPY
2020-03-31,236.9344940185547,242.0638491887975,235.52805566114748,239.5175603608972,194881100,SPY
2020-04-01,226.27127075195312,236.85174851191033,224.20297754937033,227.95348423990177,189554600,SPY
2020-04-02,231.4925537109375,232.27390045217555,224.83724120524906,225.38879163266066,177660400,SPY
2020-04-03,228.14649963378906,232.8622119735487,225.41635186092915,230.50894247212545,135561200,SPY
2020-04-06,243.47027587890625,245.43746603844804,228.12814793015815,237.01721102821946,188061200,SPY
2020-04-07,243.71847534179688,252.81895953411126,243.49786638414741,252.06517485811415,201427200,SPY
2020-04-08,251.899658203125,253.710564441002,243.82872180426008,246.31985753505052,153774500,SPY
2020-04-09,255.73297119140625,258.4906954182596,253.223432045882,255.1630179533185,189999200,SPY
2020-04-13,253.39817810058594,255.0987809079502,249.4914007566824,254.75866595708356,114839100,SPY
2020-04-14,260.87158203125,261.89192674380104,253.260262690421,258.2885153744186,134143400,SPY
