Date,Close,High,Low,Open,Volume,Ticker
,MSFT,MSFT,MSFT,MSFT,MSFT,
2020-01-02,152.15843200683594,152.26263771533866,149.9890770179385,150.41536784183276,22622100,MSFT
2020-01-03,150.26377868652344,151.52371505612567,149.73328220562672,149.97959446814662,21116200,MSFT
2020-01-06,150.6521759033203,150.7184951877552,148.26492739771743,148.80490629687822,20813700,MSFT
2020-01-07,149.27854919433594,151.25844269298102,149.03225142604057,150.92688967276914,21634100,MSFT
2020-01-08,151.6562957763672,152.32889862891633,149.62903368740584,150.55740226330082,27746500,MSFT
2020-01-09,153.5509490966797,153.674105204978,152.5467931657798,153.31411932222434,21385000,MSFT
2020-01-10,152.84048461914062,154.62144943814087,152.68891006966302,154.2425275193915,20725900,MSFT
2020-01-13,154.67825317382812,154.70667158890456,152.76466464734693,153.23832417187603,21626500,MSFT
2020-01-14,153.58888244628906,154.98144297107078,153.20047806483123,154.78249955826826,23477400,MSFT
2020-01-15,154.58351135253906,155.3034830617299,154.00566062481232,154.05301501204548,21417900,MSFT
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400,MSFT
2020-01-17,158.29705810546875,158.64756161489345,156.71502218116595,158.60019275971428,34371700,MSFT
2020-01-21,157.72860717773438,159.32957853635287,157.66228791202107,157.8991176525282,29517200,MSFT
2020-01-22,156.9707794189453,158.66648878308445,156.95182898866327,158.58121907428676,24138800,MSFT
2020-01-23,157.9370880126953,158.0128752976038,156.56347780422664,157.43500989825466,19680800,MSFT
2020-01-24,156.34555053710938,158.70438049049056,155.7866356921332,158.68543005957545,24918100,MSFT
2020-01-27,153.73098754882812,154.77304464690081,151.76056150743847,152.66051202580311,32078100,MSFT
2020-01-28,156.74342346191406,157.0276076258131,154.4793314082179,155.15191986936853,24899900,MSFT
2020-01-29,159.18753051757812,159.8601335879613,156.96133881169087,158.99806954653704,34754500,MSFT
2020-01-30,163.6777801513672,164.88087936173753,161.7926100859004,164.88087936173753,51597500,MSFT
2020-01-31,161.26214599609375,163.31782695899412,160.64639428803872,163.13784845021453,36142700,MSFT
2020-02-03,165.19346618652344,165.30713982328575,161.42312674460277,161.45154515379335,30107000,MSFT
2020-02-04,170.63113403320312,171.1237440771596,167.02185010187932,167.80812679253964,36433300,MSFT
2020-02-05,170.42271423339844,174.4961895872338,169.01121791022703,174.33514706166798,39186300,MSFT
2020-02-06,173.9562225341797,174.13621548794777,170.5742861837626,171.43635009131322,27751400,MSFT
2020-02-07,174.2025146484375,175.85085514230525,172.86679120280033,173.21730911108827,33529100,MSFT
