Date,Close,High,Low,Open,Volume,Ticker
,NVDA,NVDA,NVDA,NVDA,NVDA,
2020-01-02,5.970755100250244,5.970755100250244,5.891364453417941,5.941885817283135,237536000,NVDA
2020-01-03,5.875187397003174,5.918989509206405,5.826158936868676,5.851046511408945,205384000,NVDA
2020-01-06,5.8998236656188965,5.905050011695952,5.755725566813906,5.78185729719918,262636000,NVDA
2020-01-07,5.97125244140625,6.017045403475826,5.883150748902034,5.928197022093987,314856000,NVDA
2020-01-08,5.982452392578125,6.023765699991168,5.926953419217713,5.967022086819687,277108000,NVDA
2020-01-09,6.048154354095459,6.120576999500233,5.994397505336159,6.068811004490261,255112000,NVDA
2020-01-10,6.080508232116699,6.185782344219764,6.06632256758394,6.155419686593314,316296000,NVDA
2020-01-13,6.271145820617676,6.296282128119939,6.140984150343223,6.163632128120506,319840000,NVDA
2020-01-14,6.154174327850342,6.2537241224035025,6.140983618120265,6.228338604376113,359088000,NVDA
2020-01-15,6.1116156578063965,6.1892646306227865,6.0857326668676,6.166865870206874,263104000,NVDA
2020-01-16,6.195240020751953,6.201213057446798,6.141731903266754,6.165126099200316,284192000,NVDA
2020-01-17,6.203949451446533,6.221868558212583,6.156414379459316,6.214402145054004,253792000,NVDA
2020-01-21,6.170600891113281,6.204199040327583,6.13650479111519,6.167365397745973,217916000,NVDA
2020-01-22,6.224606037139893,6.311214340256056,6.196980925833093,6.215895459222514,239240000,NVDA
2020-01-23,6.29304838180542,6.3015102242301815,6.175828651830759,6.264677047908686,244516000,NVDA
2020-01-24,6.2338151931762695,6.4583003373897805,6.179560391908617,6.408525194546055,373512000,NVDA
2020-01-27,5.977971076965332,6.028990377187651,5.779617698609579,5.9291913682766975,470536000,NVDA
2020-01-28,6.171347618103027,6.203701127903374,5.990664110182417,6.043923483285389,310976000,NVDA
2020-01-29,6.110870838165283,6.192999486865854,6.071050441358389,6.156912534107337,258848000,NVDA
2020-01-30,6.11759090423584,6.131030355221164,5.958062456449191,6.013063476063364,290504000,NVDA
2020-01-31,5.884146690368652,6.083744287335184,5.842335907093359,6.0717982136305295,370420000,NVDA
