Date,Close,High,Low,Open,Volume,Ticker
,META,META,META,META,META,
2020-01-02,208.14657592773438,208.15649261372965,204.66391150608143,205.1401698134919,12077100,META
2020-01-03,207.04519653320312,208.7617217095724,205.3385880417922,205.59657325047942,11188400,META
2020-01-06,210.9446258544922,211.12321704244698,204.91196510836792,205.09055629632272,17058900,META
2020-01-07,211.40103149414062,212.9092004360152,210.1012340740953,211.16290991488245,14912400,META
2020-01-08,213.5442352294922,214.55629744981584,210.95455684865024,211.341519588777,13475000,META
2020-01-09,216.6002197265625,216.67959862689565,214.5959441280876,215.84612774338615,12642800,META
2020-01-10,216.3621063232422,218.16794243532362,215.72709019217615,217.4932292798279,12119400,META
2020-01-13,220.18212890625,220.24165930128555,217.50315514980076,217.89011785751035,14463400,META
2020-01-14,217.3543243408203,220.64848099563872,216.92767972949216,219.8844722297958,13288900,META
2020-01-15,219.4280242919922,219.9538962713182,218.425894039687,218.8922356273878,10036500,META
2020-01-16,220.04322814941406,220.89653250467634,218.67396845051022,220.83700210732903,10015300,META
2020-01-17,220.4103240966797,220.55915007771634,218.81285962698286,220.30117999726025,15905900,META
2020-01-21,219.71580505371094,220.63855653131444,217.4138619930568,220.43020013184636,14275800,META
2020-01-22,219.5967254638672,221.01558367210345,219.55702844071217,220.5790072572682,12212800,META
2020-01-23,218.04885864257812,219.7653990977893,217.56268366067917,219.03115557209316,11195000,META
2020-01-24,216.24302673339844,220.05312318860922,214.4272740930298,219.0807581343057,11905800,META
2020-01-27,213.19691467285156,214.37765118667988,210.84537347000224,211.44070763932004,13810700,META
2020-01-28,216.0941925048828,217.03680753347362,211.85745134891118,214.45704612676462,13413800,META
2020-01-29,221.49185180664062,222.45430027118508,216.74907170753525,219.71579601102562,33181300,META
2020-01-30,207.8985137939453,209.78371357248747,203.15573401089648,204.92187300257686,48775500,META
2020-01-31,200.33782958984375,207.06503584723745,199.49444206655187,206.80705065000745,31359900,META
2020-02-03,202.60009765625,203.54269754941683,200.92325424778556,201.85593745533228,15495600,META
2020-02-04,208.19618225097656,208.96019096490863,203.60222842171876,205.0111699219711,19628900,META
